cod_ibge,ano_referencia,populacao_estimada,pib_per_capita
2300101,2017,11605,8009.56
2300150,2017,16543,9071.57
2300200,2017,62199,10194.05
2300309,2017,53572,7405.88
2300408,2017,17194,6087.47
2300507,2017,11459,6046.25
2300606,2017,7479,7098.14
2300705,2017,16976,8560.26
2300754,2017,42901,10056.06
2300804,2017,7278,7951.77
2300903,2017,14719,7789.59
2301000,2017,79128,27878.21
2301109,2017,73629,17326.20
2301208,2017,26269,7805.74
2301257,2017,10823,7273.49
2301307,2017,21398,7566.60
2301406,2017,11244,13199.48
2301505,2017,7777,6858.94
2301604,2017,23254,9421.39
2301703,2017,24496,7951.22
2301802,2017,6228,7333.49
2301851,2017,18027,9159.37
2301901,2017,59811,15490.63
2301950,2017,20978,7863.19
2302008,2017,22440,8005.39
2302057,2017,14880,6892.20
2302107,2017,35351,10422.62
2302206,2017,53110,15039.05
2302305,2017,32378,7386.77
2302404,2017,54049,7485.60
